total loss, value loss, policy loss, Agent wins, Heuristic wins, Ties
0.21926440298557281, 0.15796546638011932, 0.06129893660545349, 0, 7, 13
0.27023065090179443, 0.23687824606895447, 0.03335241600871086, 0, 3, 17
0.2535449266433716, 0.21490012109279633, 0.03864482045173645, 0, 7, 13
0.23025479912757874, 0.22021350264549255, 0.01004128996282816, 0, 0, 20
0.17645414173603058, 0.16273491084575653, 0.01371922716498375, 0, 0, 20
0.20392224192619324, 0.1406509131193161, 0.06327132880687714, 0, 1, 19
0.24906030297279358, 0.176825150847435, 0.07223515957593918, 0, 2, 18
0.21861091256141663, 0.1473013460636139, 0.07130957394838333, 0, 5, 15
0.1892303079366684, 0.17080183327198029, 0.01842847466468811, 0, 3, 17
0.16678345203399658, 0.13207954168319702, 0.03470391780138016, 0, 2, 18
